Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,15652.36,-,5438.55,8565.00,1904.10,2187.41,3
2,1m|2g|2|read|48|10,14852.24,-,5649.87,12400.00,1625.35,1945.21,3
3,1m|5g|2|read|48|10,16241.09,-,4840.50,10030.00,1592.15,1886.83,3
4,1m|10g|2|read|48|4,14064.81,-,3941.35,10127.00,1508.10,1981.32,3
5,1m|32m|2|read|48|100,16321.83,-,3948.80,8460.00,1215.06,2139.51,3
6,1m|64m|2|read|48|100,15363.97,-,5990.29,9900.00,1614.21,2215.50,3
7,1m|1g|2|read|96|20,16670.83,-,8437.66,12353.00,2131.64,2334.68,3
8,1m|2g|2|read|96|10,16926.16,-,8251.16,13761.00,2040.89,2284.72,3
9,1m|5g|2|read|96|10,18440.41,-,8911.17,13298.00,2117.53,2293.07,3
10,1m|10g|2|read|96|4,15464.33,-,4564.13,11524.00,2039.46,2247.58,3
11,1m|32m|2|read|96|100,17062.25,-,4780.53,9501.00,1577.63,2549.66,3
12,1m|64m|2|read|96|100,16071.66,-,6170.21,10586.00,1920.09,2469.18,3
