Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,14726.07,-,5912.48,12077.00,1594.59,1828.70,3
2,1m|2g|2|read|48|10,14863.48,-,4588.51,6828.00,1549.67,1777.85,3
3,1m|5g|2|read|48|10,17822.23,-,8275.13,12392.00,1698.03,1788.84,3
4,1m|10g|2|read|48|4,15509.39,-,4411.83,7120.00,1664.70,1741.24,3
5,1m|32m|2|read|48|100,16938.61,-,4232.67,9009.00,1015.06,1708.34,3
6,1m|64m|2|read|48|100,15915.41,-,6069.65,10250.00,1367.08,1912.96,3
7,1m|1g|2|read|96|20,16899.41,-,5123.19,8419.00,1723.67,1939.12,3
8,1m|2g|2|read|96|10,14447.19,-,3632.33,7989.00,1621.22,1880.67,3
9,1m|5g|2|read|96|10,18506.69,-,8304.80,12813.00,1727.51,1856.28,3
10,1m|10g|2|read|96|4,17799.87,-,6621.48,10751.00,1702.82,1853.44,3
11,1m|32m|2|read|96|100,16297.55,-,5272.54,10285.00,1371.70,2042.94,3
12,1m|64m|2|read|96|100,16672.63,-,5033.05,8484.00,1601.24,2116.62,3
