Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|randread|1|20,83.87,-,40.27,650.00,233.40,247.10,3
2,1m|1m|2|randread|1|200,43.84,-,233.44,785.00,220.40,238.87,3
3,1m|2g|2|randread|1|10,86.31,-,39.81,671.00,231.87,247.93,3
4,1m|4m|2|randread|1|150,69.71,-,162.25,676.00,237.52,262.58,3
5,1m|5g|2|randread|1|10,77.61,-,39.17,715.00,231.05,239.53,3
6,1m|8m|2|randread|1|120,69.86,-,128.41,658.00,238.04,267.37,3
7,1m|10g|2|randread|1|4,78.65,-,36.47,635.00,223.98,234.51,3
8,1m|16m|2|randread|1|120,72.28,-,83.10,645.00,247.79,263.42,3
9,1m|32m|2|randread|1|100,72.22,-,63.56,624.00,243.77,263.56,3
10,1m|64m|2|randread|1|100,73.48,-,42.50,603.00,246.34,262.59,3
11,64k|64k|2|randread|1|400,3.50,-,120.41,776.00,226.44,238.35,3
12,256k|256k|2|randread|1|400,13.52,-,117.33,705.00,229.29,245.49,3
13,1m|1g|2|randread|48|20,3725.62,-,771.67,824.00,650.82,683.73,3
14,1m|1m|2|randread|48|200,2345.85,-,286.53,888.00,282.61,403.23,3
15,1m|2g|2|randread|48|10,3711.68,-,779.04,826.00,577.39,683.12,3
16,1m|4m|2|randread|48|150,3242.15,-,659.29,1140.00,442.59,597.42,3
17,1m|5g|2|randread|48|10,3775.89,-,803.98,890.00,445.91,668.45,3
18,1m|8m|2|randread|48|120,3121.11,-,934.74,1667.00,578.86,828.87,3
19,1m|10g|2|randread|48|4,3721.00,-,785.06,823.00,402.43,665.66,3
20,1m|16m|2|randread|48|120,3203.86,-,1099.60,1818.00,723.52,950.80,3
21,1m|32m|2|randread|48|100,3403.83,-,953.76,1391.00,757.29,935.05,3
22,1m|64m|2|randread|48|100,3506.24,-,909.38,1129.00,789.10,936.35,3
23,64k|64k|2|randread|48|400,5.25,-,10.40,708.00,306.60,387.61,3
24,256k|256k|2|randread|48|400,20.24,-,9.97,690.00,304.86,387.99,3
25,1m|1g|2|randread|96|20,7424.03,-,1745.12,1867.00,1054.02,1202.87,3
26,1m|1m|2|randread|96|200,4546.23,-,270.11,691.00,314.55,546.87,3
27,1m|2g|2|randread|96|10,7299.16,-,1706.56,1872.00,902.95,1128.22,3
28,1m|4m|2|randread|96|150,5245.27,-,1105.26,2418.00,653.43,1060.64,3
29,1m|5g|2|randread|96|10,7246.86,-,1702.47,1850.00,651.31,1088.14,3
30,1m|8m|2|randread|96|120,5276.43,-,1797.38,3417.00,914.72,1525.81,3
31,1m|10g|2|randread|96|4,7430.28,-,1794.67,1932.00,542.32,1075.99,3
32,1m|16m|2|randread|96|120,5567.75,-,2158.54,3566.00,1155.59,1678.25,3
33,1m|32m|2|randread|96|100,6185.04,-,1969.08,2874.00,1219.27,1623.71,3
34,1m|64m|2|randread|96|100,6039.79,-,1933.32,2273.00,1265.61,1485.67,3
35,64k|64k|2|randread|96|400,5.07,-,9.87,627.00,364.25,480.33,3
36,256k|256k|2|randread|96|400,20.09,-,9.91,711.00,368.61,492.48,3
37,1m|1g|2|read|1|20,589.95,-,138.96,716.00,234.54,246.17,3
38,1m|1m|2|read|1|200,41.94,-,187.50,620.00,227.04,236.69,3
39,1m|2g|2|read|1|10,588.66,-,136.36,627.00,234.19,248.85,3
40,1m|4m|2|read|1|150,127.75,-,205.92,637.00,218.63,244.92,3
41,1m|5g|2|read|1|10,632.74,-,118.55,673.00,243.94,255.31,3
42,1m|8m|2|read|1|120,205.28,-,223.01,632.00,212.68,223.92,3
43,1m|10g|2|read|1|4,612.92,-,120.25,659.00,236.39,257.78,3
44,1m|16m|2|read|1|120,287.96,-,209.62,809.00,216.40,229.73,3
45,1m|32m|2|read|1|100,411.10,-,210.07,688.00,227.35,236.35,3
46,1m|64m|2|read|1|100,506.46,-,165.06,644.00,212.44,232.08,3
47,64k|64k|2|read|1|400,3.54,-,123.34,800.00,227.87,249.67,3
48,256k|256k|2|read|1|400,13.45,-,118.59,788.00,230.71,239.92,3
49,1m|1g|2|read|48|20,13229.25,-,2290.39,2720.00,666.55,734.76,3
50,1m|1m|2|read|48|200,2330.23,-,296.40,803.00,278.42,382.01,3
51,1m|2g|2|read|48|10,13249.78,-,2289.09,2771.00,669.33,740.87,3
52,1m|4m|2|read|48|150,6672.72,-,444.07,785.00,326.81,536.04,3
53,1m|5g|2|read|48|10,13845.45,-,2485.25,2916.00,702.91,772.65,3
54,1m|8m|2|read|48|120,9378.51,-,645.79,1202.00,365.72,603.65,3
55,1m|10g|2|read|48|4,13969.49,-,2523.13,2869.00,704.86,786.31,3
56,1m|16m|2|read|48|120,11218.83,-,948.06,1772.00,438.00,643.22,3
57,1m|32m|2|read|48|100,12175.38,-,1299.71,2148.00,501.76,662.42,3
58,1m|64m|2|read|48|100,13085.88,-,1811.82,2457.00,606.80,727.78,3
59,64k|64k|2|read|48|400,5.27,-,10.19,747.00,301.90,386.09,3
60,256k|256k|2|read|48|400,21.19,-,10.06,670.00,299.91,383.43,3
61,1m|1g|2|read|96|20,13623.75,-,2308.79,2669.00,1117.93,1288.80,3
62,1m|1m|2|read|96|200,4307.88,-,256.68,616.00,310.96,535.48,3
63,1m|2g|2|read|96|10,13917.38,-,2554.73,2753.00,1171.14,1296.50,3
64,1m|4m|2|read|96|150,9913.55,-,505.33,1140.00,436.15,885.38,3
65,1m|5g|2|read|96|10,13665.42,-,2371.14,2727.00,1134.08,1260.01,3
66,1m|8m|2|read|96|120,11719.30,-,842.29,1710.00,627.86,1085.66,3
67,1m|10g|2|read|96|4,13441.50,-,2273.26,2663.00,1141.34,1316.18,3
68,1m|16m|2|read|96|120,12633.59,-,1185.87,2086.00,773.32,1157.50,3
69,1m|32m|2|read|96|100,12752.47,-,1496.79,2332.00,839.22,1134.16,3
70,1m|64m|2|read|96|100,13348.07,-,1898.41,2486.00,1036.31,1344.12,3
71,64k|64k|2|read|96|400,5.25,-,9.94,717.00,365.34,478.35,3
72,256k|256k|2|read|96|400,20.62,-,9.81,718.00,367.26,490.09,3
