Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|randread|1|20,361.60,-,76.47,544.00,241.90,270.44,3
2,1m|1m|2|randread|1|200,44.40,-,228.88,776.00,221.18,229.57,3
3,1m|2g|2|randread|1|10,377.83,-,78.56,674.00,241.20,270.68,3
4,1m|4m|2|randread|1|150,114.95,-,211.77,650.00,226.30,239.35,3
5,1m|5g|2|randread|1|10,366.67,-,69.76,735.00,267.28,288.37,3
6,1m|8m|2|randread|1|120,178.91,-,235.39,726.00,235.11,254.09,3
7,1m|10g|2|randread|1|4,389.91,-,68.70,888.00,264.99,290.73,3
8,1m|16m|2|randread|1|120,227.38,-,192.04,765.00,233.15,255.94,3
9,1m|32m|2|randread|1|100,277.32,-,158.79,761.00,210.38,222.05,3
10,1m|64m|2|randread|1|100,315.86,-,129.58,829.00,233.29,243.57,3
11,64k|64k|2|randread|1|400,3.51,-,94.51,552.00,214.60,230.96,3
12,256k|256k|2|randread|1|400,14.19,-,106.46,667.00,217.15,236.76,3
13,1m|1g|2|randread|48|20,13340.00,-,1971.97,2762.00,747.36,856.49,3
14,1m|1m|2|randread|48|200,2357.42,-,301.40,758.00,333.66,610.77,3
15,1m|2g|2|randread|48|10,11797.41,-,1507.56,2336.00,720.34,905.12,3
16,1m|4m|2|randread|48|150,6250.06,-,406.13,697.00,374.63,660.67,3
17,1m|5g|2|randread|48|10,13190.42,-,1876.56,2607.00,703.22,833.74,3
18,1m|8m|2|randread|48|120,8483.50,-,552.87,1002.00,385.54,650.94,3
19,1m|10g|2|randread|48|4,12071.92,-,1667.11,2382.00,668.72,831.20,3
20,1m|16m|2|randread|48|120,10621.48,-,725.89,1402.00,446.20,740.94,3
21,1m|32m|2|randread|48|100,11862.10,-,1202.50,2037.00,555.67,835.90,3
22,1m|64m|2|randread|48|100,12732.23,-,1602.02,2348.00,724.79,983.10,3
23,64k|64k|2|randread|48|400,5.49,-,10.43,731.00,325.45,706.80,3
24,256k|256k|2|randread|48|400,21.76,-,10.40,627.00,327.38,751.15,3
25,1m|1g|2|randread|96|20,15984.00,-,3586.56,5773.00,1170.21,1536.44,3
26,1m|1m|2|randread|96|200,4406.12,-,298.37,784.00,404.95,1157.13,3
27,1m|2g|2|randread|96|10,16706.53,-,4548.67,7485.00,1079.47,1256.51,3
28,1m|4m|2|randread|96|150,11728.46,-,562.56,1309.00,491.70,1075.79,3
29,1m|5g|2|randread|96|10,17684.83,-,6416.64,11176.00,1039.02,1269.24,3
30,1m|8m|2|randread|96|120,14833.46,-,847.22,2060.00,531.43,1096.32,3
