Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (MB),Peak PgCache (MB),Avg Sys CPU (%),Peak Sys CPU (%),Iter
1,1m|1g|1|randread|1|20,387.40,-,78.27,564.00,246.25,269.87,14544.69,24900.75,0.18,0.50,3
2,1m|1m|1|randread|1|200,44.10,-,282.75,951.00,220.49,223.51,4922.39,5048.07,0.04,0.10,3
3,1m|2g|1|randread|1|10,382.67,-,90.61,763.00,258.22,274.68,14509.46,24957.60,0.21,0.60,3
4,1m|4m|1|randread|1|150,124.88,-,217.15,617.00,205.06,216.47,5056.84,5447.37,0.07,0.30,3
5,1m|5g|1|randread|1|10,388.09,-,68.23,651.00,261.05,292.55,27618.96,51450.56,0.19,0.60,3
6,1m|8m|1|randread|1|120,178.92,-,223.00,684.00,227.13,237.56,5245.39,5808.74,0.06,0.10,3
7,1m|10g|1|randread|1|4,404.01,-,72.66,711.00,265.36,290.25,25000.93,46691.88,0.20,0.60,3
8,1m|16m|1|randread|1|120,238.64,-,189.57,694.00,226.34,232.57,6538.42,7637.06,0.13,0.20,3
9,1m|32m|1|randread|1|100,294.29,-,160.20,665.00,220.16,234.90,7096.39,8703.30,0.17,0.70,3
10,1m|64m|1|randread|1|100,333.85,-,117.10,705.00,217.67,230.67,8714.96,12149.38,0.16,0.30,3
11,64k|64k|1|randread|1|400,3.52,-,107.51,635.00,221.05,233.55,5754.64,5774.09,1.12,27.10,3
12,256k|256k|1|randread|1|400,14.39,-,127.59,729.00,227.39,247.12,5772.52,5847.55,0.17,1.30,3
13,1m|1g|1|randread|48|20,13479.14,-,2019.07,2691.00,727.88,846.23,430852.75,709191.05,7.07,11.60,3
14,1m|1m|1|randread|48|200,2381.15,-,293.92,675.00,313.23,572.07,6590.77,11938.30,0.72,1.60,3
15,1m|2g|1|randread|48|10,11246.48,-,1473.33,2266.00,702.93,826.83,406540.83,709361.19,5.81,11.50,3
16,1m|4m|1|randread|48|150,6352.48,-,418.50,685.00,338.81,591.01,11894.21,26871.19,1.53,3.20,3
17,1m|5g|1|randread|48|10,13967.51,-,2059.16,2627.00,697.95,789.20,518197.92,709441.51,7.56,13.00,3
18,1m|8m|1|randread|48|120,8646.40,-,545.08,875.00,357.96,572.24,16558.79,40175.39,2.23,4.80,3
19,1m|10g|1|randread|48|4,12172.22,-,1773.79,2907.00,688.30,862.65,478853.66,708918.87,6.54,14.80,3
20,1m|16m|1|randread|48|120,10844.67,-,856.56,1463.00,500.59,788.53,39747.11,96180.39,3.27,7.30,3
21,1m|32m|1|randread|48|100,12855.67,-,1272.10,2077.00,554.13,854.78,65791.36,155824.07,5.06,8.20,3
22,1m|64m|1|randread|48|100,12836.08,-,1548.08,2207.00,712.05,977.76,138495.13,309589.50,6.33,14.80,3
23,64k|64k|1|randread|48|400,5.22,-,10.53,677.00,325.29,728.01,4067.96,4657.07,0.05,3.70,3
24,256k|256k|1|randread|48|400,20.54,-,10.49,613.00,437.60,1208.55,4185.80,6511.19,0.05,1.30,3
25,1m|1g|1|randread|96|20,15960.40,-,3967.17,9037.00,1124.15,1469.39,501961.68,708661.23,10.83,19.30,3
26,1m|1m|1|randread|96|200,4042.04,-,312.44,768.00,431.76,1132.40,7714.18,22794.49,4.39,36.10,3
