Matrix ID,Test ID,Config,Commit,IOType|Jobs|FSize|BS|IOD|NrFiles,Read BW (MB/s),Write BW (MB/s),Read Min (ms),Read Max (ms),Read Avg (ms),Read StdDev (ms),Read P50 (ms),Read P90 (ms),Read P99 (ms),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Avg PgCache (GB),Peak PgCache (GB),Avg Sys CPU (%),Peak Sys CPU (%),Avg Net RX (MB/s),Peak Net RX (MB/s),Avg Net TX (MB/s),Peak Net TX (MB/s),Iter
1,1,agareader,go_new_mrd,read|1|1g|1m|1|20,620.98,-,0.58,55.62,0.90,0.59,0.84,1.08,1.65,0.49,0.63,226.19,240.70,24.18,34.30,1.36,13.85,589.25,781.32,0.76,1.03,3
2,2,agareader,go_new_mrd,read|2|1g|1m|1|20,1218.14,-,0.52,35.35,0.97,0.49,0.84,1.35,2.68,0.94,1.14,248.50,277.06,34.13,54.77,1.92,13.23,1165.01,1413.42,1.43,1.77,3
3,3,agareader,go_new_mrd,read|4|1g|1m|1|20,2295.29,-,0.51,36.78,0.98,0.50,0.87,1.31,2.90,1.82,2.17,269.56,293.60,52.99,94.55,3.10,14.08,2250.98,2780.51,2.68,3.28,3
4,4,agareader,go_new_mrd,read|8|1g|1m|1|20,4753.25,-,0.49,154.92,1.09,0.85,0.92,1.65,3.18,3.56,4.20,316.47,344.46,90.57,174.77,5.42,14.84,4605.02,5555.82,5.65,7.20,3
5,5,agareader,go_new_mrd,read|16|1g|1m|1|20,8540.20,-,0.47,237.36,1.22,1.09,0.97,1.97,3.51,7.35,8.74,384.85,423.72,161.87,334.65,10.32,16.36,8372.97,10080.78,10.31,12.69,3
6,6,agareader,go_new_mrd,read|32|1g|1m|1|20,12418.85,-,0.45,622.29,1.33,1.61,1.04,2.11,3.76,12.38,15.21,519.29,572.45,325.15,654.64,16.49,19.49,12358.54,15424.17,15.33,19.48,3
7,7,agareader,go_new_mrd,read|48|1g|1m|1|20,13295.46,-,0.46,293.68,1.39,1.38,1.09,2.26,3.85,13.73,15.85,696.22,777.59,435.89,696.60,18.47,20.94,13481.57,15875.33,16.44,20.02,3
8,8,agareader,go_new_mrd,read|64|1g|1m|1|20,13487.34,-,0.45,556.16,1.51,1.63,1.22,2.37,4.05,13.94,17.02,840.28,959.25,483.71,696.08,18.83,22.37,13800.81,16790.50,16.73,20.54,3
9,9,agareader,go_new_mrd,read|96|1g|1m|1|20,13755.68,-,0.45,1117.42,1.62,1.86,1.38,2.49,4.03,13.69,16.59,1160.94,1331.56,517.16,695.73,19.08,22.68,14082.41,16128.54,17.17,20.93,3
10,1,simplereader,go_new_mrd,read|1|1g|1m|1|20,1984.09,-,0.40,20.02,0.68,0.47,0.59,0.87,3.10,0.97,1.36,259.41,301.23,21.56,31.38,3.31,13.99,1576.04,2208.32,2.34,3.26,3
11,2,simplereader,go_new_mrd,read|2|1g|1m|1|20,3918.65,-,0.41,24.79,0.74,0.50,0.64,0.95,3.16,2.10,2.91,302.95,378.18,30.45,50.16,4.91,15.74,3206.57,4453.63,4.45,6.44,3
12,3,simplereader,go_new_mrd,read|4|1g|1m|1|20,7586.91,-,0.38,89.72,0.75,0.66,0.65,0.97,3.16,4.74,6.60,395.09,515.45,46.56,86.64,8.24,16.65,6296.89,8578.78,8.81,12.05,3
13,4,simplereader,go_new_mrd,read|8|1g|1m|1|20,12195.00,-,0.39,136.88,0.86,1.05,0.70,1.16,3.50,10.03,15.91,563.33,770.84,80.94,171.33,14.50,21.69,10794.55,16292.47,15.80,23.74,3
14,5,simplereader,go_new_mrd,read|16|1g|1m|1|20,15011.15,-,0.40,2052.46,1.17,5.48,0.92,1.76,3.87,25.60,74.07,957.01,1276.30,169.60,332.57,30.75,81.24,14248.52,22689.02,19.66,30.78,3
15,6,simplereader,go_new_mrd,read|32|1g|1m|1|20,15627.34,-,0.40,4254.55,1.32,10.27,0.95,2.13,4.53,28.00,81.01,1331.22,1610.39,334.75,652.97,33.57,89.93,15622.51,21952.12,22.49,38.58,3
16,7,simplereader,go_new_mrd,read|48|1g|1m|1|20,15334.42,-,0.39,3220.38,1.31,7.11,0.97,2.16,4.41,25.82,82.31,1570.92,1797.57,440.70,692.25,31.26,87.14,15691.14,23767.94,22.20,35.35,3
17,8,simplereader,go_new_mrd,read|64|1g|1m|1|20,16758.38,-,0.40,3548.04,1.42,8.55,1.00,2.39,4.98,33.22,82.03,1635.19,1924.07,470.52,692.15,39.41,91.14,17179.53,24201.44,23.19,35.66,3
18,9,simplereader,go_new_mrd,read|96|1g|1m|1|20,18829.48,-,0.39,5109.41,1.71,14.84,1.16,2.89,5.34,50.62,82.50,1817.35,2076.93,556.10,692.83,58.97,90.21,19728.87,24446.13,26.33,35.73,3
19,1,simplereader_8mb_128_96,go_new_mrd,read|1|1g|1m|1|20,1620.25,-,0.41,19.60,0.71,0.32,0.65,0.95,1.30,0.88,1.23,238.73,269.11,36.86,46.48,2.97,13.87,1347.39,1801.19,1.99,2.69,3
20,2,simplereader_8mb_128_96,go_new_mrd,read|2|1g|1m|1|20,3254.40,-,0.42,56.20,0.80,0.57,0.71,1.08,1.62,1.73,2.48,278.84,327.91,45.59,66.15,4.03,14.54,2740.55,3680.72,3.86,5.14,3
