Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|96|20,12431.81,-,1678.57,2942.00,964.47,1483.18,2
2,1m|1m|2|read|96|200,85.78,-,9.02,260.00,328.97,609.49,2
3,1m|2g|2|read|96|10,12551.14,-,0.40,0.40,253.99,264.50,2
4,1m|4m|2|read|96|150,343.42,-,29.72,314.00,335.94,616.23,2
5,1m|5g|2|read|96|10,12782.88,-,2209.31,3141.00,1016.11,1272.28,2
6,1m|8m|2|read|96|120,5334.17,-,0.40,0.40,296.05,380.64,2
7,1m|10g|2|read|96|4,12370.90,-,0.50,0.50,242.42,262.63,2
8,1m|16m|2|read|96|120,9555.24,-,0.40,0.40,299.61,368.02,2
9,1m|32m|2|read|96|100,11851.38,-,0.40,0.40,307.76,436.61,2
10,1m|64m|2|read|96|100,11980.58,-,0.42,0.50,324.32,441.62,2
11,64k|64k|2|read|96|400,5.38,-,8.34,276.00,351.28,616.51,2
12,256k|256k|2|read|96|400,21.15,-,8.33,314.00,361.90,656.30,2
