Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|randread|1|20,73.62,-,27.83,310.00,186.05,239.86,3
2,1m|1m|2|randread|1|200,43.88,-,86.01,325.00,148.02,166.99,3
3,1m|2g|2|randread|1|10,70.74,-,27.89,353.00,179.50,233.51,3
4,1m|4m|2|randread|1|150,69.77,-,75.39,300.00,177.83,241.66,3
5,1m|5g|2|randread|1|10,73.18,-,28.15,321.00,208.34,310.13,3
6,1m|8m|2|randread|1|120,66.58,-,61.55,325.00,167.59,200.71,3
7,1m|10g|2|randread|1|4,81.03,-,28.55,333.00,174.92,207.30,3
8,1m|16m|2|randread|1|120,69.66,-,48.08,374.00,184.41,226.49,3
9,1m|32m|2|randread|1|100,69.82,-,36.94,332.00,183.98,219.65,3
10,1m|64m|2|randread|1|100,70.80,-,29.46,317.00,215.66,289.11,3
11,64k|64k|2|randread|1|400,3.50,-,60.59,333.00,152.52,176.25,3
12,256k|256k|2|randread|1|400,13.46,-,71.48,407.00,163.62,192.75,3
13,1m|1g|2|randread|48|20,3637.29,-,0.50,0.50,270.10,306.78,3
14,1m|1m|2|randread|48|200,590.05,-,0.50,0.50,504.02,700.19,3
15,1m|2g|2|randread|48|10,3543.42,-,0.50,0.50,651.11,703.07,3
16,1m|4m|2|randread|48|150,2339.19,-,0.56,0.60,660.78,677.85,3
17,1m|5g|2|randread|48|10,3459.92,-,0.60,0.60,608.60,648.73,3
18,1m|8m|2|randread|48|120,2904.24,-,0.60,0.60,454.11,529.35,3
19,1m|10g|2|randread|48|4,3474.44,-,722.03,838.00,354.90,631.23,3
20,1m|16m|2|randread|48|120,3084.74,-,21.30,284.00,312.69,1049.00,3
21,1m|32m|2|randread|48|100,3343.59,-,52.40,423.00,365.95,1034.10,3
22,1m|64m|2|randread|48|100,3321.98,-,119.52,507.00,479.68,1024.32,3
23,64k|64k|2|randread|48|400,5.25,-,8.91,276.00,345.66,556.02,3
24,256k|256k|2|randread|48|400,20.95,-,8.73,281.00,301.26,525.11,3
25,1m|1g|2|randread|96|20,6904.70,-,908.78,1499.00,943.48,1315.59,3
26,1m|1m|2|randread|96|200,84.43,-,9.36,258.00,433.70,866.91,3
27,1m|2g|2|randread|96|10,6961.25,-,1229.08,1692.00,812.51,1176.05,3
28,1m|4m|2|randread|96|150,326.16,-,10.75,271.00,310.12,722.88,3
29,1m|5g|2|randread|96|10,6518.41,-,1156.97,1605.00,568.75,1077.96,3
30,1m|8m|2|randread|96|120,3569.95,-,11.24,264.00,275.57,1526.30,3
31,1m|10g|2|randread|96|4,6703.88,-,0.40,0.40,274.33,300.19,3
32,1m|16m|2|randread|96|120,5214.05,-,0.43,0.50,616.60,829.58,3
33,1m|32m|2|randread|96|100,6109.81,-,0.50,0.50,715.48,795.21,3
34,1m|64m|2|randread|96|100,5960.48,-,0.50,0.50,422.16,545.59,3
35,64k|64k|2|randread|96|400,5.02,-,0.53,0.60,337.72,471.34,3
36,256k|256k|2|randread|96|400,20.11,-,0.50,0.50,266.34,360.44,3
37,1m|1g|2|read|1|20,696.28,-,0.50,0.50,252.50,258.75,3
38,1m|1m|2|read|1|200,42.43,-,0.50,0.50,263.05,279.07,3
39,1m|2g|2|read|1|10,708.69,-,0.50,0.50,285.68,295.16,3
40,1m|4m|2|read|1|150,136.97,-,0.50,0.50,295.17,295.18,3
41,1m|5g|2|read|1|10,727.89,-,0.50,0.50,316.76,352.75,3
42,1m|8m|2|read|1|120,215.41,-,0.50,0.50,352.94,352.99,3
43,1m|10g|2|read|1|4,733.51,-,0.40,0.40,245.40,258.84,3
44,1m|16m|2|read|1|120,340.92,-,0.40,0.40,258.84,258.84,3
45,1m|32m|2|read|1|100,470.83,-,0.40,0.40,258.84,258.85,3
46,1m|64m|2|read|1|100,598.21,-,0.40,0.40,276.55,290.46,3
47,64k|64k|2|read|1|400,3.65,-,0.40,0.40,294.04,304.42,3
48,256k|256k|2|read|1|400,13.96,-,0.40,0.40,304.59,304.62,3
49,1m|1g|2|read|48|20,13503.14,-,0.40,0.40,277.58,294.67,3
50,1m|1m|2|read|48|200,552.36,-,0.40,0.40,530.94,711.68,3
51,1m|2g|2|read|48|10,13427.08,-,0.46,0.50,721.46,745.96,3
52,1m|4m|2|read|48|150,3008.78,-,0.50,0.50,689.69,709.09,3
53,1m|5g|2|read|48|10,13750.25,-,0.50,0.50,666.47,709.35,3
54,1m|8m|2|read|48|120,7357.12,-,0.50,0.50,483.74,533.27,3
55,1m|10g|2|read|48|4,13377.72,-,0.50,0.50,308.13,360.99,3
56,1m|16m|2|read|48|120,10788.61,-,0.50,0.50,498.96,631.12,3
57,1m|32m|2|read|48|100,12942.24,-,0.50,0.50,700.27,750.63,3
58,1m|64m|2|read|48|100,12897.31,-,0.50,0.50,651.12,675.81,3
59,64k|64k|2|read|48|400,5.30,-,0.59,0.60,486.18,673.14,3
60,256k|256k|2|read|48|400,20.76,-,0.60,0.60,402.97,484.05,3
61,1m|1g|2|read|96|20,12780.11,-,1751.95,2971.00,1046.58,1654.61,3
62,1m|1m|2|read|96|200,85.42,-,9.48,276.00,457.04,924.67,3
63,1m|2g|2|read|96|10,12877.36,-,2047.48,3039.00,1013.45,1262.76,3
64,1m|4m|2|read|96|150,332.19,-,9.78,285.00,287.18,621.66,3
65,1m|5g|2|read|96|10,13171.07,-,2188.22,3030.00,1011.28,1252.27,3
66,1m|8m|2|read|96|120,5371.10,-,9.57,248.00,227.16,1131.58,3
67,1m|10g|2|read|96|4,13130.37,-,2546.44,3210.00,1087.91,1326.87,3
68,1m|16m|2|read|96|120,9787.27,-,11.69,329.00,290.96,1326.12,3
69,1m|32m|2|read|96|100,11548.41,-,16.23,332.00,300.07,1389.73,3
70,1m|64m|2|read|96|100,12465.17,-,31.24,384.00,318.28,1317.22,3
71,64k|64k|2|read|96|400,4.91,-,8.39,273.00,373.24,629.29,3
72,256k|256k|2|read|96|400,20.50,-,8.34,292.00,307.01,490.26,3
