Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|randread|48|20,3479.56,-,110.35,449.42,815.68,1
2,1m|1m|2|randread|48|200,568.23,-,12.06,216.61,382.84,1
3,1m|2g|2|randread|48|10,3504.83,-,0.40,288.42,292.62,1
4,1m|4m|2|randread|48|100,2960.52,-,56.40,329.84,572.26,1
5,1m|5g|2|randread|48|10,3320.22,-,0.40,280.34,280.34,1
6,1m|8m|2|randread|48|75,3034.39,-,0.40,300.93,306.08,1
7,1m|10g|2|randread|48|4,3403.98,-,0.40,262.20,263.10,1
8,1m|16m|2|randread|48|75,3200.52,-,0.40,296.21,318.88,1
9,1m|32m|2|randread|48|50,3306.98,-,0.30,304.85,319.28,1
10,1m|64m|2|randread|48|50,3361.97,-,0.50,260.45,260.90,1
11,64k|64k|2|randread|48|400,5.33,-,9.44,295.46,449.05,1
12,256k|256k|2|randread|48|400,21.24,-,9.67,293.13,445.68,1
