Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,13225.49,-,2755.07,3273.00,592.65,691.75,3
2,1m|2g|2|read|48|10,13351.15,-,2484.46,3112.00,614.94,721.64,3
3,1m|5g|2|read|48|10,10420.99,-,2019.56,2738.00,515.07,653.40,3
4,1m|10g|2|read|48|4,11311.27,-,2285.32,2937.00,549.99,824.87,3
5,1m|32m|2|read|48|100,11088.26,-,1470.45,2601.00,437.78,588.64,3
6,1m|64m|2|read|48|100,12096.69,-,1895.67,2760.00,518.97,731.87,3
7,1m|1g|2|read|96|20,10974.40,-,2344.56,2887.00,688.38,922.90,3
8,1m|2g|2|read|96|10,12633.38,-,2912.93,3519.00,1108.31,1276.55,3
9,1m|5g|2|read|96|10,11135.74,-,2367.76,3024.00,718.84,1676.22,3
10,1m|10g|2|read|96|4,12443.87,-,3053.01,3430.00,1058.27,1201.05,3
11,1m|32m|2|read|96|100,12472.60,-,1936.16,2865.00,849.45,1129.93,3
12,1m|64m|2|read|96|100,12876.24,-,2418.14,3190.00,987.56,1250.96,3
