Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,9871.25,-,2209.62,2994.00,676.63,827.70,3
2,1m|2g|2|read|48|10,10197.12,-,2098.31,2937.00,668.07,799.51,3
3,1m|5g|2|read|48|10,9877.09,-,2511.23,3253.00,693.95,795.14,3
4,1m|10g|2|read|48|4,6482.15,-,1405.91,3214.00,615.36,742.31,3
5,1m|32m|2|read|48|100,10550.85,-,1709.31,2759.00,533.42,782.38,3
6,1m|64m|2|read|48|100,10178.47,-,2128.10,2844.00,653.37,906.89,3
7,1m|1g|2|read|96|20,7709.91,-,1934.90,2316.00,776.16,906.25,3
8,1m|2g|2|read|96|10,7549.92,-,1683.98,2009.00,753.50,928.61,3
9,1m|5g|2|read|96|10,8438.13,-,2378.86,2886.00,772.89,893.66,3
10,1m|10g|2|read|96|4,8209.74,-,2037.30,2581.00,753.01,830.87,3
11,1m|32m|2|read|96|100,8950.19,-,1687.60,2305.00,787.59,1167.99,3
12,1m|64m|2|read|96|100,6607.49,-,1576.42,1974.00,968.67,1334.88,3
