Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,28791.52,-,2398.33,3094.00,419.71,639.37,3
2,1m|2g|2|read|48|10,28194.48,-,2458.73,3169.00,400.16,512.14,3
3,1m|5g|2|read|48|10,25539.71,-,2040.65,3181.00,447.28,634.55,3
4,1m|10g|2|read|48|4,26097.22,-,2175.79,3189.00,446.87,544.63,3
5,1m|32m|2|read|48|100,34495.43,-,884.37,1973.00,209.83,313.39,3
6,1m|64m|2|read|48|100,35440.70,-,1388.58,2465.00,278.72,446.80,3
7,1m|1g|2|read|96|20,21410.67,-,1542.62,2105.00,1296.95,1825.91,3
8,1m|2g|2|read|96|10,21230.17,-,1555.98,2162.00,1310.23,1805.87,3
9,1m|5g|2|read|96|10,21031.24,-,1502.49,2113.00,1416.44,1849.10,3
10,1m|10g|2|read|96|4,21040.60,-,1481.37,2095.00,1387.50,1809.22,3
11,1m|32m|2|read|96|100,34853.26,-,1128.85,2150.00,358.88,576.18,3
12,1m|64m|2|read|96|100,28885.47,-,1546.43,2217.00,557.66,1017.04,3
