Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11565.77,-,2970.72,4918.00,1639.12,1912.99,3
2,1m|2g|2|read|48|10,11892.59,-,3372.33,5290.00,1514.13,1812.88,3
3,1m|5g|2|read|48|10,11588.61,-,3664.97,5381.00,1561.07,1762.43,3
4,1m|10g|2|read|48|4,9474.76,-,2248.04,3710.00,1447.68,1885.26,3
5,1m|32m|2|read|48|100,11628.10,-,2121.03,3873.00,1131.00,1821.51,3
6,1m|64m|2|read|48|100,11787.14,-,2894.47,4517.00,1452.38,2028.15,3
7,1m|1g|2|read|96|20,11065.51,-,3560.48,4880.00,1802.37,2031.15,3
8,1m|2g|2|read|96|10,13768.91,-,4878.90,5494.00,1862.30,2099.43,3
9,1m|5g|2|read|96|10,11272.83,-,3388.82,4896.00,1779.63,1996.85,3
10,1m|10g|2|read|96|4,13465.98,-,5360.79,5632.00,1864.88,2032.35,3
11,1m|32m|2|read|96|100,12571.00,-,3014.22,4306.00,1522.26,2181.67,3
12,1m|64m|2|read|96|100,12184.65,-,3570.19,4439.00,1745.62,2262.40,3
