Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|randread|1|20,363.69,-,61.03,275.00,199.96,238.72,3
2,1m|1m|2|randread|1|200,41.58,-,90.11,389.00,162.99,195.53,3
3,1m|2g|2|randread|1|10,363.68,-,62.82,357.00,211.40,242.67,3
4,1m|4m|2|randread|1|150,118.11,-,112.70,450.00,151.62,163.67,3
5,1m|5g|2|randread|1|10,366.50,-,57.81,319.00,237.85,311.40,3
6,1m|8m|2|randread|1|120,169.81,-,83.15,285.00,145.01,160.01,3
7,1m|10g|2|randread|1|4,389.38,-,54.40,340.00,224.12,275.27,3
8,1m|16m|2|randread|1|120,233.92,-,90.96,403.00,166.36,201.28,3
9,1m|32m|2|randread|1|100,275.47,-,83.19,328.00,168.43,187.26,3
10,1m|64m|2|randread|1|100,311.81,-,71.16,315.00,171.57,210.36,3
11,64k|64k|2|randread|1|400,3.34,-,60.21,344.00,151.79,162.10,3
12,256k|256k|2|randread|1|400,12.53,-,61.29,334.00,154.76,166.22,3
13,1m|1g|2|randread|48|20,8865.16,-,0.50,0.50,298.66,381.25,3
14,1m|1m|2|randread|48|200,529.43,-,0.50,0.50,511.70,591.28,3
15,1m|2g|2|randread|48|10,10636.53,-,0.50,0.50,391.05,417.91,3
16,1m|4m|2|randread|48|150,3047.01,-,0.50,0.50,387.16,415.84,3
17,1m|5g|2|randread|48|10,10056.80,-,0.52,0.60,422.22,439.42,3
18,1m|8m|2|randread|48|120,5685.94,-,0.60,0.60,452.83,493.83,3
19,1m|10g|2|randread|48|4,8468.42,-,1668.90,2869.00,590.60,740.56,3
20,1m|16m|2|randread|48|120,7999.86,-,12.76,266.00,220.98,802.81,3
21,1m|32m|2|randread|48|100,10574.32,-,17.61,273.00,206.74,786.29,3
22,1m|64m|2|randread|48|100,11136.97,-,35.34,350.00,249.80,889.93,3
23,64k|64k|2|randread|48|400,5.36,-,8.94,284.00,299.55,782.67,3
24,256k|256k|2|randread|48|400,21.41,-,8.95,263.00,279.88,731.95,3
25,1m|1g|2|randread|96|20,10783.40,-,1584.27,3609.00,680.08,960.83,3
26,1m|1m|2|randread|96|200,82.52,-,8.91,282.00,372.94,968.49,3
27,1m|2g|2|randread|96|10,11734.34,-,2298.60,4324.00,694.99,896.98,3
28,1m|4m|2|randread|96|150,997.52,-,9.54,266.00,276.69,1003.51,3
29,1m|5g|2|randread|96|10,11415.67,-,2467.36,3981.00,670.60,823.12,3
30,1m|8m|2|randread|96|120,5298.04,-,10.37,275.00,239.97,1048.34,3
31,1m|10g|2|randread|96|4,8257.81,-,0.50,0.50,344.02,427.64,3
32,1m|16m|2|randread|96|120,7568.67,-,0.50,0.50,515.76,600.24,3
33,1m|32m|2|randread|96|100,11109.60,-,0.50,0.50,407.27,455.69,3
34,1m|64m|2|randread|96|100,11021.21,-,0.50,0.50,427.26,466.77,3
35,64k|64k|2|randread|96|400,5.15,-,0.50,0.50,286.25,391.15,3
36,256k|256k|2|randread|96|400,20.64,-,0.50,0.50,246.63,284.55,3
37,1m|1g|2|read|1|20,1730.71,-,0.50,0.50,246.12,253.23,3
38,1m|1m|2|read|1|200,41.75,-,0.50,0.50,262.59,282.66,3
39,1m|2g|2|read|1|10,2126.55,-,0.50,0.50,286.79,287.05,3
40,1m|4m|2|read|1|150,138.19,-,0.50,0.50,287.06,287.07,3
41,1m|5g|2|read|1|10,2561.11,-,0.50,0.50,306.59,323.97,3
42,1m|8m|2|read|1|120,219.83,-,0.50,0.50,347.81,351.87,3
43,1m|10g|2|read|1|4,2688.95,-,0.50,0.50,252.53,260.02,3
44,1m|16m|2|read|1|120,345.18,-,0.50,0.50,260.12,260.85,3
45,1m|32m|2|read|1|100,517.49,-,0.50,0.50,263.18,263.68,3
46,1m|64m|2|read|1|100,725.52,-,0.50,0.50,263.68,263.69,3
47,64k|64k|2|read|1|400,3.36,-,0.50,0.50,286.18,308.08,3
48,256k|256k|2|read|1|400,12.77,-,0.50,0.50,308.41,308.79,3
49,1m|1g|2|read|48|20,8746.06,-,0.50,0.50,322.81,402.87,3
50,1m|1m|2|read|48|200,475.29,-,0.50,0.50,503.75,579.79,3
51,1m|2g|2|read|48|10,9312.13,-,0.50,0.50,401.49,401.49,3
52,1m|4m|2|read|48|150,2779.91,-,0.50,0.50,407.91,433.98,3
53,1m|5g|2|read|48|10,7927.31,-,0.50,0.50,450.87,477.18,3
54,1m|8m|2|read|48|120,6536.34,-,0.50,0.50,469.38,478.75,3
55,1m|10g|2|read|48|4,8535.42,-,0.50,0.50,328.30,382.58,3
56,1m|16m|2|read|48|120,9118.97,-,0.50,0.50,540.64,620.25,3
57,1m|32m|2|read|48|100,10253.83,-,0.50,0.50,474.14,554.86,3
58,1m|64m|2|read|48|100,9264.39,-,0.50,0.50,361.78,391.88,3
59,64k|64k|2|read|48|400,5.25,-,0.50,0.50,376.57,469.21,3
60,256k|256k|2|read|48|400,22.04,-,0.50,0.50,278.76,341.88,3
61,1m|1g|2|read|96|20,6827.46,-,816.26,1494.00,675.42,942.26,3
62,1m|1m|2|read|96|200,83.58,-,9.05,300.00,372.18,954.92,3
63,1m|2g|2|read|96|10,7743.41,-,1300.69,1932.00,706.08,881.69,3
64,1m|4m|2|read|96|150,342.22,-,9.60,253.00,290.88,892.35,3
65,1m|5g|2|read|96|10,8542.63,-,1654.03,2284.00,704.98,840.00,3
66,1m|8m|2|read|96|120,5180.76,-,10.38,315.00,232.83,1203.13,3
67,1m|10g|2|read|96|4,8596.16,-,1865.47,2530.00,743.25,848.78,3
68,1m|16m|2|read|96|120,7341.24,-,11.39,300.00,268.65,1278.63,3
69,1m|32m|2|read|96|100,6816.97,-,18.10,303.00,286.92,1341.16,3
70,1m|64m|2|read|96|100,5571.76,-,39.98,296.00,400.39,1359.05,3
71,64k|64k|2|read|96|400,5.24,-,8.73,278.00,328.96,776.18,3
72,256k|256k|2|read|96|400,21.63,-,12.53,278.00,374.98,1007.60,3
