Test ID,BS|FSize|IOD|IOType|Jobs|NrFiles,Read BW (MB/s),Write BW (MB/s),Avg CPU (%),Peak CPU (%),Avg Mem (MB),Peak Mem (MB),Iter
1,1m|1g|2|read|48|20,11344.33,-,3189.01,4402.00,1461.93,1699.15,3
2,1m|2g|2|read|48|10,12440.20,-,3542.39,5007.00,1481.06,1628.34,3
3,1m|5g|2|read|48|10,10320.83,-,2584.44,5334.00,1486.44,1727.28,3
4,1m|10g|2|read|48|4,13040.65,-,3128.54,5432.00,1573.46,1709.08,3
5,1m|32m|2|read|48|100,11179.71,-,2079.86,4383.00,1032.18,1580.25,3
6,1m|64m|2|read|48|100,11597.39,-,2633.99,4539.00,1278.90,1743.70,3
7,1m|1g|2|read|96|20,9809.26,-,2538.26,3617.00,1565.76,1850.53,3
8,1m|2g|2|read|96|10,12408.55,-,4357.90,4951.00,1659.12,1899.98,3
9,1m|5g|2|read|96|10,9262.17,-,2410.94,3875.00,1532.18,1683.67,3
10,1m|10g|2|read|96|4,11215.28,-,3988.95,5271.00,1608.30,1762.83,3
11,1m|32m|2|read|96|100,12286.65,-,3046.04,4338.00,1387.11,1945.07,3
12,1m|64m|2|read|96|100,12270.42,-,3487.23,4397.00,1585.77,2102.02,3
